,Average_AttendanceTimeSeconds
IncGeo_WardNameNew_West End,-0.00023533458862877747
PropertyType_Nursing/Care Home/Hospice,-0.00024793042616781604
Postcode_full_N15,-0.0004389434511924655
StopCodeDescription_Late Call,-0.0005760134945360352
FirstPumpArriving_DeployedFromStation_West Hampstead,-0.0006273610367697732
IncidentStationGround_West Hampstead,-0.0008127496273548035
PropertyCategory_Rail Vehicle,-0.0009947235854653013
FirstPumpArriving_DeployedFromStation_West Norwood,-0.0010771030801227622
PropertyType_Motorcycle ,-0.0011697436688556167
Postcode_full_NW1,-0.0016881105571016923
Postcode_full_NW10,-0.0017090755478058916
IncGeo_WardCode_E05013797,-0.001725638483565858
SpecialServiceType_Making Safe (not RTC),-0.0019032479841431648
IncGeo_WardCode_E05013658,-0.0019462117741945314
Postcode_district_NW10,-0.002057381480081816
IncGeo_WardNameNew_Kingston Town,-0.0020885855198591674
Postcode_full_NW6,-0.002277060281943764
IncGeo_WardNameNew_Regent's Park,-0.002605739774737953
PropertyType_Common external bin storage area,-0.0026392119629416464
PropertyType_Large refuse/rubbish container (eg skip/ paladin),-0.002662566481097179
SecondPumpArriving_DeployedFromStation_Greenwich,-0.0027918384089182903
PropertyType_Nurses'/Doctors' accommodation ,-0.0028013954176225033
SpecialServiceType_Advice Only,-0.002880199942894462
IncGeo_WardCode_E05013721,-0.0030555572662960373
IncGeo_BoroughCode_E09000014,-0.003130362910820509
ProperCase_Haringey,-0.003130362910820509
IncidentStationGround_Plaistow,-0.0031705582523096254
IncGeo_WardCode_E05013796,-0.0032892054853889195
Postcode_full_E5,-0.0036167355665410105
IncGeo_WardNameNew_FAIRFIELD,-0.0036485621108290705
ProperCase_Newham,-0.0036882991845028643
IncGeo_BoroughCode_E09000025,-0.0036882991845028643
IncidentStationGround_Tottenham,-0.0038348760405262088
IncidentStationGround_West Norwood,-0.003903009660995203
IncGeo_WardNameNew_Knightsbridge & Belgravia,-0.004062674687553737
IncGeo_WardNameNew_Gospel Oak,-0.0041251431827163225
IncGeo_WardCode_E05014024,-0.004418192041250886
IncGeo_WardNameNew_Hyde Park,-0.004891222962412117
Postcode_district_E5,-0.004941780126154496
SecondPumpArriving_DeployedFromStation_Tooting,-0.004973989997065094
IncidentStationGround_Poplar,-0.005112657084456946
PropertyType_Bus/coach ,-0.0051990673688374674
IncGeo_WardNameNew_BROMPTON & HANS TOWN,-0.005199893553678096
Postcode_full_SW1V,-0.005342322972089623
PropertyType_Licensed House in Multiple Occupation - 3 or more storeys ,-0.0053682728602148
IncGeo_WardCode_E05013666,-0.0054266718653235985
FirstPumpArriving_DeployedFromStation_Hornsey,-0.005482845202359725
IncGeo_WardNameNew_Tooting Broadway,-0.005782668121746217
SecondPumpArriving_DeployedFromStation_Soho,-0.006049184525764265
SpecialServiceType_Medical Incident - Co-responder,-0.006282002148760527
IncGeo_WardCode_E05013802,-0.006500287657644475
Postcode_full_SW2,-0.006617137883587445
Postcode_full_N17,-0.007052960882746641
FirstPumpArriving_DeployedFromStation_Croydon,-0.007187779767565788
Postcode_full_SE8,-0.007342974178043016
Postcode_district_NW6,-0.007378439382744753
Postcode_district_CR0,-0.007402641755230003
IncidentStationGround_Hornsey,-0.0074904901243152975
Postcode_full_E8,-0.007522148776645953
FirstPumpArriving_DeployedFromStation_Poplar,-0.0075441625972120065
IncGeo_WardNameNew_King's Cross,-0.007630645050464536
Postcode_full_N1,-0.007842691161151705
Postcode_full_SW16,-0.007947950236341483
IncGeo_WardCode_E05009323,-0.008116490917922282
SecondPumpArriving_DeployedFromStation_Clapham,-0.008153679356424911
Postcode_district_E11,-0.008184510582563703
IncGeo_WardCode_E05013668,-0.008286977516111137
IncGeo_WardNameNew_ST. JAMES'S,-0.00830613578869734
IncidentGroup_False Alarm,-0.008337025834878864
AddressQualifier_Within same building,-0.008539804856630666
PropertyType_Wheelie bin (domestic size),-0.008607056114911108
SecondPumpArriving_DeployedFromStation_Old Kent Road,-0.00864835658302373
SpecialServiceType_Flooding,-0.008664251686732303
Postcode_district_E6,-0.008731290259178556
SpecialServiceType_Assist other agencies,-0.009097696308007162
Postcode_full_E2,-0.00930338990579765
Postcode_district_SW1V,-0.00941119029106093
PropertyType_Infant/Primary school,-0.009476424651281103
IncGeo_WardNameNew_Lancaster Gate,-0.00962855641348214
SecondPumpArriving_DeployedFromStation_Stoke Newington,-0.009800648354803106
IncGeo_WardCode_E05013792,-0.00983907408794944
PropertyType_Secondary school,-0.009908382523187377
Postcode_district_N17,-0.010004205302363048
SecondPumpArriving_DeployedFromStation_Shoreditch,-0.010096461264397377
IncGeo_WardNameNew_Lansbury,-0.010197285083830476
PropertyType_Road surface/pavement ,-0.010226465771469946
IncGeo_WardNameNew_Abbey Road,-0.010380311029191115
Postcode_full_W6,-0.0104110378046298
PropertyCategory_Outdoor Structure,-0.010674814727028577
Postcode_full_E9,-0.010743774586075177
PropertyType_Converted office ,-0.010791523174511045
IncGeo_WardNameNew_London Bridge & West Bermondsey,-0.010877782274583381
IncGeo_WardCode_E05013924,-0.010898634401801215
PropertyType_Shopping Centre ,-0.010936829344602014
PropertyType_Medical/health centre,-0.010968569021599815
SecondPumpArriving_DeployedFromStation_Kentish Town,-0.010992591234223909
IncGeo_WardCode_E05011468,-0.011153862408279544
IncGeo_WardCode_E05011104,-0.01126349475074136
Postcode_district_E14,-0.011275383061139597
IncGeo_WardCode_E05009389,-0.011299607266571015
IncGeo_WardNameNew_Stratford,-0.011425851964874733
Postcode_full_SW11,-0.011510149083913334
SecondPumpArriving_DeployedFromStation_Homerton,-0.011514730795416163
IncGeo_BoroughCode_E09000032,-0.01160119245879478
ProperCase_Wandsworth,-0.01160119245879478
FirstPumpArriving_DeployedFromStation_Norbury,-0.01166698428552864
IncGeo_WardNameNew_Pimlico North,-0.011710963751665651
IncGeo_WardNameNew_Canary Wharf,-0.011763053376734266
